Molecule ChEMBL ID,Smiles,Standard Type,Standard Units,Standard Value
CHEMBL567061,CCCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,IC50,nM,50.0
CHEMBL2408736,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCN(C)c2ccc(CC(C)(C)C)cc21,IC50,nM,643.0
CHEMBL3127080,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1O[C@H]1CCOC[C@@]12C,IC50,nM,14.55
CHEMBL378897,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,IC50,nM,1300.0
CHEMBL2437442,CN1C(=O)C[C@@](C)([C@@H]2C[C@H]2c2cccc(-c3ccccc3)c2)N=C1N.O=C(O)C(F)(F)F,IC50,nM,9300.0
CHEMBL566198,CCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,IC50,nM,330.185
CHEMBL137756,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(N)=O)C(C)C,IC50,nM,530.0
CHEMBL1258234,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2ccc(C(C)C)s2)CCCCC1,IC50,nM,4010.0
CHEMBL399276,CCCN(c1cc2cc(c1)C(=O)N[C@@H](CC)CCc1cccc(c1)C[C@@](C)(N)COC2)S(C)(=O)=O,IC50,nM,85.0
CHEMBL1645518,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(=O)N[C@H](C(=O)NCC(O)C(=O)Nc1cccc(C(=O)O)c1)C(C)C,IC50,nM,3000.0
CHEMBL584288,NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCN12,IC50,nM,60.0
